"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"1400000US17031120100","Census Tract 1201, Cook County, Illinois","4515","452","null","null",
"1400000US17031120200","Census Tract 1202, Cook County, Illinois","4771","498","null","null",
"1400000US17031120300","Census Tract 1203, Cook County, Illinois","6826","816","null","null",
"1400000US17031120400","Census Tract 1204, Cook County, Illinois","3816","524","null","null",
"1400000US17031130100","Census Tract 1301, Cook County, Illinois","5279","708","null","null",
"1400000US17031130200","Census Tract 1302, Cook County, Illinois","1658","276","null","null",
"1400000US17031130300","Census Tract 1303, Cook County, Illinois","5617","869","null","null",
"1400000US17031140100","Census Tract 1401, Cook County, Illinois","3332","643","null","null",
"1400000US17031140200","Census Tract 1402, Cook County, Illinois","6634","843","null","null",
"1400000US17031140301","Census Tract 1403.01, Cook County, Illinois","2824","546","null","null",
"1400000US17031140302","Census Tract 1403.02, Cook County, Illinois","3842","576","null","null",
"1400000US17031140400","Census Tract 1404, Cook County, Illinois","5639","765","null","null",
"1400000US17031140500","Census Tract 1405, Cook County, Illinois","3782","578","null","null",
"1400000US17031140601","Census Tract 1406.01, Cook County, Illinois","2803","396","null","null",
"1400000US17031140602","Census Tract 1406.02, Cook County, Illinois","5124","742","null","null",
"1400000US17031140701","Census Tract 1407.01, Cook County, Illinois","2999","372","null","null",
"1400000US17031140702","Census Tract 1407.02, Cook County, Illinois","6083","708","null","null",
"1400000US17031140800","Census Tract 1408, Cook County, Illinois","6218","981","null","null",
"1400000US17031150200","Census Tract 1502, Cook County, Illinois","7856","1275","null","null",
"1400000US17031150300","Census Tract 1503, Cook County, Illinois","7479","882","null","null",
"1400000US17031150401","Census Tract 1504.01, Cook County, Illinois","4700","637","null","null",
"1400000US17031150402","Census Tract 1504.02, Cook County, Illinois","3540","358","null","null",
"1400000US17031150501","Census Tract 1505.01, Cook County, Illinois","3793","467","null","null",
"1400000US17031150502","Census Tract 1505.02, Cook County, Illinois","3734","452","null","null",
"1400000US17031150600","Census Tract 1506, Cook County, Illinois","4384","759","null","null",
"1400000US17031150700","Census Tract 1507, Cook County, Illinois","4088","774","null","null",
"1400000US17031150800","Census Tract 1508, Cook County, Illinois","4871","878","null","null",
"1400000US17031151001","Census Tract 1510.01, Cook County, Illinois","2666","382","null","null",
"1400000US17031151002","Census Tract 1510.02, Cook County, Illinois","5333","841","null","null",
"1400000US17031151100","Census Tract 1511, Cook County, Illinois","5347","750","null","null",
"1400000US17031151200","Census Tract 1512, Cook County, Illinois","3890","811","null","null",
"1400000US17031160100","Census Tract 1601, Cook County, Illinois","2534","398","null","null",
"1400000US17031160200","Census Tract 1602, Cook County, Illinois","3138","456","null","null",
"1400000US17031160300","Census Tract 1603, Cook County, Illinois","3672","436","null","null",
"1400000US17031160400","Census Tract 1604, Cook County, Illinois","4799","595","null","null",
"1400000US17031160501","Census Tract 1605.01, Cook County, Illinois","3631","636","null","null",
"1400000US17031160502","Census Tract 1605.02, Cook County, Illinois","3838","896","null","null",
"1400000US17031160601","Census Tract 1606.01, Cook County, Illinois","3191","460","null","null",
"1400000US17031160602","Census Tract 1606.02, Cook County, Illinois","3703","385","null","null",
"1400000US17031160700","Census Tract 1607, Cook County, Illinois","5860","1014","null","null",
"1400000US17031160800","Census Tract 1608, Cook County, Illinois","5640","1134","null","null",
"1400000US17031160900","Census Tract 1609, Cook County, Illinois","2653","344","null","null",
"1400000US17031161000","Census Tract 1610, Cook County, Illinois","2228","334","null","null",
"1400000US17031161100","Census Tract 1611, Cook County, Illinois","2040","228","null","null",
"1400000US17031161200","Census Tract 1612, Cook County, Illinois","3116","459","null","null",
"1400000US17031161300","Census Tract 1613, Cook County, Illinois","3561","587","null","null",
"1400000US17031170100","Census Tract 1701, Cook County, Illinois","2038","467","null","null",
"1400000US17031170200","Census Tract 1702, Cook County, Illinois","3789","727","null","null",
"1400000US17031170300","Census Tract 1703, Cook County, Illinois","5536","719","null","null",
"1400000US17031170400","Census Tract 1704, Cook County, Illinois","4061","478","null","null",
"1400000US17031170500","Census Tract 1705, Cook County, Illinois","5339","749","null","null",
"1400000US17031170600","Census Tract 1706, Cook County, Illinois","2363","278","null","null",
"1400000US17031170700","Census Tract 1707, Cook County, Illinois","3309","603","null","null",
"1400000US17031170800","Census Tract 1708, Cook County, Illinois","4088","530","null","null",
"1400000US17031170900","Census Tract 1709, Cook County, Illinois","2000","494","null","null",
"1400000US17031171000","Census Tract 1710, Cook County, Illinois","6951","965","null","null",
"1400000US17031171100","Census Tract 1711, Cook County, Illinois","4113","555","null","null",
"1400000US17031180100","Census Tract 1801, Cook County, Illinois","6330","840","null","null",
"1400000US17031190100","Census Tract 1901, Cook County, Illinois","2470","433","null","null",
"1400000US17031190200","Census Tract 1902, Cook County, Illinois","6162","900","null","null",
"1400000US17031190300","Census Tract 1903, Cook County, Illinois","5568","701","null","null",
"1400000US17031190401","Census Tract 1904.01, Cook County, Illinois","4408","560","null","null",
"1400000US17031190402","Census Tract 1904.02, Cook County, Illinois","5238","805","null","null",
"1400000US17031190601","Census Tract 1906.01, Cook County, Illinois","4802","718","null","null",
"1400000US17031190602","Census Tract 1906.02, Cook County, Illinois","5532","915","null","null",
"1400000US17031190701","Census Tract 1907.01, Cook County, Illinois","2870","653","null","null",
"1400000US17031190702","Census Tract 1907.02, Cook County, Illinois","4644","616","null","null",
"1400000US17031190800","Census Tract 1908, Cook County, Illinois","6949","894","null","null",
"1400000US17031190900","Census Tract 1909, Cook County, Illinois","2162","574","null","null",
"1400000US17031191000","Census Tract 1910, Cook County, Illinois","2735","497","null","null",
"1400000US17031191100","Census Tract 1911, Cook County, Illinois","6701","1484","null","null",
"1400000US17031191200","Census Tract 1912, Cook County, Illinois","4038","646","null","null",
